glass_name,glass_price,glass_link,photos_link
Jersey,$19.98,https://www.glassesshop.com/eyeglasses/fp2749,"['https://res.glassesshop.com/products/202306/648ff6f01c0bc.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f01c0bc.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f110316.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f1e64c7.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f2c2654.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f398eff.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f4d01d0.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f5bb921.jpg?im=Resize,width=1000,height=500']"
DesMoines,$19.95,https://www.glassesshop.com/eyeglasses/fp2683,"['https://res.glassesshop.com/products/202301/63d76dd0365d6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76dd0365d6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76dd1041c2.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76dd1b6b3a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76dd2ac7b4.jpg?im=Resize,width=1000,height=500']"
Endicott,$29.95,https://www.glassesshop.com/eyeglasses/fz1392,"['https://res.glassesshop.com/products/201910/5d9ffa72dbb0e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201910/5d9ffa72dbb0e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201910/5d9ffa702892a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201910/5d9ffa6f0011b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201910/5d9ffa717ba32.jpg?im=Resize,width=1000,height=500']"
Yves,$55.95,https://www.glassesshop.com/eyeglasses/st0272,"['https://res.glassesshop.com/products/202205/6278cd27b014a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202205/6278cd27b014a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202205/6278cd2914f8b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202205/6278cd2a7de29.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202205/6278cd2be6aa3.jpg?im=Resize,width=1000,height=500']"
Riverside,$19.95,https://www.glassesshop.com/eyeglasses/fm1385,"['https://res.glassesshop.com/products/201906/5d031896295ff.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5d031896295ff.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5d0318962738c.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5d03189628552.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5d03189628df1.jpg?im=Resize,width=1000,height=500']"
Cleveland,$26.95,https://www.glassesshop.com/eyeglasses/fp2700,"['https://res.glassesshop.com/products/202301/63d76c6a57687.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76c6a57687.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76c6b2d169.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76c6c03038.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76c6ccf9ce.jpg?im=Resize,width=1000,height=500']"
Vivian,$29.95,https://www.glassesshop.com/eyeglasses/fz1250,"['https://res.glassesshop.com/products/201810/5bbc4f0f37405.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201810/5bbc4f0f37405.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201810/5bbc4f0f35fba.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201810/5bbc4f0f36706.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201810/5bbc4f0f36d63.jpg?im=Resize,width=1000,height=500']"
Dove,$34.95,https://www.glassesshop.com/eyeglasses/fp1727,"['https://res.glassesshop.com/products/201807/5b3dcff30c19c.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201807/5b3dcff30c19c.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201807/5b3dcfef82991.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201807/5b3dcff150a01.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201807/5b3dcff4eeee0.jpg?im=Resize,width=1000,height=500']"
Kent,$34.95,https://www.glassesshop.com/eyeglasses/fz2101,"['https://res.glassesshop.com/products/202307/64a29373a3bc4.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a29373a3bc4.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a293747e885.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a293754d551.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a293761283a.jpg?im=Resize,width=1000,height=500']"
Dinah,$26.95,https://www.glassesshop.com/eyeglasses/fp2445,"['https://res.glassesshop.com/products/202109/614a9ce1a161e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/614a9ce1a161e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/614a9ce3070b7.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/614a9ce472b4b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/614a9ce5ae2ab.jpg?im=Resize,width=1000,height=500']"
